r xir xih rho dE_dr(normalized)
0.1080731887731888 3.3105228283843523e-06 8.52152219732374e-07 9.764830763000003 5.887864951670364e-12
0.1083721920721921 3.431898755820979e-06 8.591013775325032e-07 9.741257083999997 6.076010914569261e-12
0.1086711953711954 3.553667059463532e-06 8.663468115888287e-07 9.717759507999999 6.272809010460645e-12
0.1089701986701987 3.6758707624642065e-06 8.738872176024787e-07 9.694337472 6.4784654595010605e-12
0.109269201969202 3.7985522226712982e-06 8.817214219883476e-07 9.670990421 6.693196745383098e-12
0.1095682052682053 3.921753162524755e-06 8.89848380069035e-07 9.647717805 6.917229715574896e-12
0.1098672085672086 4.045514697898986e-06 8.982671709128898e-07 9.624519083 7.1508016597169665e-12
0.1101662118662119 4.169877365767274e-06 9.069769940296314e-07 9.60139372 7.394160414465036e-12
0.1104652151652152 4.294881151011832e-06 9.159771671028554e-07 9.578341187999998 7.647564494144432e-12
0.1107642183642184 4.420565470188462e-06 9.252671191542839e-07 9.555360964999997 7.911283117680544e-12
0.1110632216632217 4.546969364873195e-06 9.348464000172342e-07 9.532452536000001 8.185596732101197e-12
0.111362224962225 4.674131273407632e-06 9.447146576475146e-07 9.509615393 8.470796584595422e-12
0.1116612282612283 4.802089222430598e-06 9.54871653265933e-07 9.486849033 8.767185329170451e-12
0.1119602315602316 4.930880807372728e-06 9.653172465480762e-07 9.464152960000002 9.075076998323315e-12
0.1122592348592349 5.060543214278714e-06 9.76051403580609e-07 9.441526684 9.39479732120787e-12
0.1125582381582382 5.191113241023085e-06 9.870741848828745e-07 9.41896972 9.726683799548687e-12
0.1128572414572415 5.322627317392025e-06 9.983857488684853e-07 9.396481591000006 1.0071085992585074e-11
0.1131562447562448 5.4551215250436e-06 1.0099863486916648e-06 9.374061823999998 1.0428365721591385e-11
0.1134552480552481 5.5886316165874255e-06 1.0218763291304515e-06 9.351709952 1.0798897288912356e-11
0.1137542512542513 5.723192988827447e-06 1.0340561206784849e-06 9.329425516000002 1.1183067584434353e-11
0.1140532545532546 5.858840880864291e-06 1.0465262528337422e-06 9.307208058999999 1.1581276866990053e-11
0.1143522578522579 5.995610121391519e-06 1.0592873304709801e-06 9.285057132 1.1993938246838652e-11
0.1146512611512611 6.133535325303826e-06 1.0723400471396704e-06 9.26297229 1.2421478482469582e-11
0.1149502644502645 6.272650864973066e-06 1.0856851774467135e-06 9.240953094999998 1.286433810439671e-11
0.1152492677492677 6.412990885869552e-06 1.0993235774933917e-06 9.218999112 1.3322971732130649e-11
0.115548271048271 6.554589322062804e-06 1.1132561844004434e-06 9.197109914000002 1.3797848402212161e-11
0.1158472743472744 6.69747991077036e-06 1.1274840092544569e-06 9.175285076999998 1.4289451790384513e-11
0.1161462776462776 6.841696206711146e-06 1.1420081433735333e-06 9.153524183000002 1.479828065730364e-11
0.1164452809452809 6.987271596002129e-06 1.1568297490454345e-06 9.131826818 1.5324849058619524e-11
0.1167442841442841 7.134239260305924e-06 1.171950061305458e-06 9.110192574000001 1.5869686624613376e-11
0.1170432874432874 7.282632386826791e-06 1.1873703965257883e-06 9.088621047 1.6433339529709084e-11
0.1173422907422907 7.432483885970964e-06 1.2030921319157922e-06 9.067111838 1.7016369871359357e-11
0.117641294041294 7.583826600165132e-06 1.2191167174032504e-06 9.045664553999998 1.7619356707401227e-11
0.1179402973402973 7.736693266469629e-06 1.235445669688433e-06 9.024278804999998 1.8242896247154673e-11
0.1182393006393006 7.891116528480168e-06 1.2520805772564259e-06 9.002954204999998 1.888760235763043e-11
0.1185383039383039 8.047128947645507e-06 1.269023090727438e-06 8.981690375 1.955410683177457e-11
